month,p,mean_ns,std_ns
1,0.55,0.634708,0.052136
2,0.55,0.670185,0.038339
3,0.55,0.688919,0.031234
4,0.55,0.703255,0.025911
5,0.55,0.714046,0.022401
6,0.55,0.721706,0.020862
7,0.55,0.727735,0.019504
8,0.55,0.733242,0.018571
9,0.55,0.737620,0.017844
10,0.55,0.742125,0.016920
11,0.55,0.746160,0.016152
12,0.55,0.749701,0.015374
13,0.55,0.752684,0.014582
14,0.55,0.755651,0.014106
15,0.55,0.758192,0.013800
16,0.55,0.760643,0.013195
17,0.55,0.762862,0.012736
18,0.55,0.765045,0.012463
19,0.55,0.767143,0.012168
20,0.55,0.769159,0.011837
21,0.55,0.770796,0.011829
22,0.55,0.772550,0.011611
23,0.55,0.774107,0.011350
24,0.55,0.775799,0.011014
25,0.55,0.777366,0.010627
26,0.55,0.777555,0.010408
27,0.55,0.777705,0.010017
28,0.55,0.777910,0.009853
29,0.55,0.778185,0.009693
30,0.55,0.778347,0.009560
31,0.55,0.778447,0.009408
32,0.55,0.778683,0.009214
33,0.55,0.778923,0.008980
34,0.55,0.779098,0.008646
35,0.55,0.779240,0.008557
36,0.55,0.779428,0.008476
1,0.65,0.669296,0.055907
2,0.65,0.702954,0.041742
3,0.65,0.723408,0.033348
4,0.65,0.736894,0.028582
5,0.65,0.746139,0.025644
6,0.65,0.754547,0.023044
7,0.65,0.761676,0.020329
8,0.65,0.767105,0.019444
9,0.65,0.771891,0.018504
10,0.65,0.776191,0.017242
11,0.65,0.780144,0.016459
12,0.65,0.783457,0.015702
13,0.65,0.786648,0.014877
14,0.65,0.789561,0.014656
15,0.65,0.792043,0.014396
16,0.65,0.794524,0.013851
17,0.65,0.796855,0.013055
18,0.65,0.799118,0.012550
19,0.65,0.801096,0.012188
20,0.65,0.803162,0.011918
21,0.65,0.804959,0.011543
22,0.65,0.806673,0.011439
23,0.65,0.808416,0.011051
24,0.65,0.810026,0.010821
25,0.65,0.811485,0.010566
26,0.65,0.811688,0.010421
27,0.65,0.811906,0.009996
28,0.65,0.812129,0.009982
29,0.65,0.812337,0.009619
30,0.65,0.812378,0.009622
31,0.65,0.812575,0.009538
32,0.65,0.812633,0.009443
33,0.65,0.812811,0.009254
34,0.65,0.812953,0.009041
35,0.65,0.812997,0.008959
36,0.65,0.813071,0.008958
1,0.75,0.715733,0.059638
2,0.75,0.750111,0.041565
3,0.75,0.767698,0.034542
4,0.75,0.780532,0.029355
5,0.75,0.790447,0.025644
6,0.75,0.797633,0.023678
7,0.75,0.804379,0.021570
8,0.75,0.809799,0.019396
9,0.75,0.815062,0.017642
10,0.75,0.818938,0.016879
11,0.75,0.822851,0.016611
12,0.75,0.826459,0.015606
13,0.75,0.829289,0.015334
14,0.75,0.832157,0.014768
15,0.75,0.834653,0.014255
16,0.75,0.836823,0.013859
17,0.75,0.839101,0.013283
18,0.75,0.841392,0.012803
19,0.75,0.843379,0.012620
20,0.75,0.845110,0.012595
21,0.75,0.846980,0.012447
22,0.75,0.848571,0.012345
23,0.75,0.850131,0.012098
24,0.75,0.851839,0.011603
25,0.75,0.853306,0.011344
26,0.75,0.853462,0.011123
27,0.75,0.853548,0.010875
28,0.75,0.853641,0.010848
29,0.75,0.853811,0.010802
30,0.75,0.853983,0.010496
31,0.75,0.854063,0.010444
32,0.75,0.854271,0.010291
33,0.75,0.854440,0.010000
34,0.75,0.854563,0.009777
35,0.75,0.854676,0.009599
36,0.75,0.854719,0.009571
